,Country,Comfirmed,Recovered,Death,Closed,Active,Death Rate (Closed),Recovery Rate (Closed),Death Rate ,Recovery Rate 
144,Taiwan*,440,372,7,379,61,1.8469656992084433,98.15303430079155,1.5909090909090908,84.54545454545455
145,Tanzania,509,183,21,204,305,10.294117647058822,89.70588235294117,4.12573673870334,35.952848722986246
146,Thailand,3017,2798,56,2854,163,1.9621583742116329,98.03784162578837,1.8561484918793503,92.7411335764004
147,Togo,199,92,11,103,96,10.679611650485436,89.32038834951457,5.527638190954774,46.231155778894475
148,Trinidad and Tobago,116,107,8,115,1,6.956521739130435,93.04347826086956,6.896551724137931,92.24137931034483
149,Tunisia,1032,740,45,785,247,5.7324840764331215,94.26751592356688,4.3604651162790695,71.70542635658916
150,Turkey,141475,98889,3894,102783,38692,3.788564256735063,96.21143574326494,2.7524297579077577,69.89856865170525
151,Uganda,129,55,0,55,74,0.0,100.0,0.0,42.63565891472868
152,Ukraine,16023,3373,425,3798,12225,11.190100052659295,88.80989994734071,2.652437121637646,21.05098920302066
153,United Arab Emirates,19661,6012,203,6215,13446,3.266291230893001,96.733708769107,1.032500890086974,30.57830222267433
154,United Kingdom,227741,1023,32769,33792,193949,96.97265625,3.02734375,14.388713494715489,0.44919447969403836
155,Uruguay,717,532,19,551,166,3.4482758620689653,96.55172413793103,2.6499302649930265,74.19804741980475
156,US,1369376,230287,82356,312643,1056733,26.341865962135724,73.65813403786427,6.014126142126049,16.81692975486645
157,Uzbekistan,2519,2010,10,2020,499,0.49504950495049505,99.5049504950495,0.39698292973402144,79.79356887653832
158,Venezuela,423,220,10,230,193,4.3478260869565215,95.65217391304348,2.3640661938534278,52.00945626477541
159,Vietnam,288,252,0,252,36,0.0,100.0,0.0,87.5
160,Zambia,441,117,7,124,317,5.64516129032258,94.35483870967742,1.5873015873015872,26.53061224489796
161,Zimbabwe,36,9,4,13,23,30.76923076923077,69.23076923076923,11.11111111111111,25.0
162,Dominica,16,15,0,15,1,0.0,100.0,0.0,93.75
163,Grenada,21,13,0,13,8,0.0,100.0,0.0,61.904761904761905
164,Mozambique,104,34,0,34,70,0.0,100.0,0.0,32.69230769230769
165,Syria,47,29,3,32,15,9.375,90.625,6.382978723404255,61.702127659574465
166,Timor-Leste,24,21,0,21,3,0.0,100.0,0.0,87.5
167,Belize,18,16,2,18,0,11.11111111111111,88.88888888888889,11.11111111111111,88.88888888888889
168,Laos,19,13,0,13,6,0.0,100.0,0.0,68.42105263157895
169,Libya,64,28,3,31,33,9.67741935483871,90.32258064516128,4.6875,43.75
170,West Bank and Gaza,375,308,2,310,65,0.6451612903225806,99.35483870967742,0.5333333333333333,82.13333333333334
171,Guinea-Bissau,820,26,3,29,791,10.344827586206897,89.65517241379311,0.3658536585365854,3.1707317073170733
172,Mali,730,398,40,438,292,9.1324200913242,90.8675799086758,5.47945205479452,54.52054794520548
173,Saint Kitts and Nevis,15,14,0,14,1,0.0,100.0,0.0,93.33333333333333
174,Kosovo,919,671,29,700,219,4.142857142857142,95.85714285714285,3.1556039173014145,73.01414581066376
175,Burma,180,76,6,82,98,7.317073170731707,92.6829268292683,3.3333333333333335,42.22222222222222
176,MS Zaandam,9,0,2,2,7,100.0,0.0,22.22222222222222,0.0
177,Botswana,24,17,1,18,6,5.555555555555555,94.44444444444444,4.166666666666666,70.83333333333334
178,Burundi,15,7,1,8,7,12.5,87.5,6.666666666666667,46.666666666666664
179,Sierra Leone,338,72,19,91,247,20.87912087912088,79.12087912087912,5.621301775147929,21.301775147928996
180,Malawi,57,24,3,27,30,11.11111111111111,88.88888888888889,5.263157894736842,42.10526315789473
181,South Sudan,194,2,0,2,192,0.0,100.0,0.0,1.0309278350515463
182,Western Sahara,6,6,0,6,0,0.0,100.0,0.0,100.0
183,Sao Tome and Principe,208,4,5,9,199,55.55555555555556,44.44444444444444,2.403846153846154,1.9230769230769231
184,Yemen,65,1,10,11,54,90.9090909090909,9.090909090909092,15.384615384615385,1.5384615384615385
185,Comoros,11,0,1,1,10,100.0,0.0,9.090909090909092,0.0
186,Tajikistan,729,0,21,21,708,100.0,0.0,2.880658436213992,0.0
